rank,route,source_city,source_code,destination_city,destination_code,total_pax_12_months,average_monthly_pax,pax_weight,pax_weight_pct,months_available
1,DEL-BOM,Delhi,DEL,Mumbai,BOM,6778337,564861.4,0.083381,8.34,12
2,BLR-DEL,Bengaluru,BLR,Delhi,DEL,4877158,406429.8,0.059994,6.0,12
3,BLR-BOM,Bengaluru,BLR,Mumbai,BOM,4129165,344097.1,0.050793,5.08,12
4,DEL-HYD,Delhi,DEL,Hyderabad,HYD,3105466,258788.8,0.0382,3.82,12
5,DEL-CCU,Delhi,DEL,Kolkata,CCU,2912808,242734.0,0.035831,3.58,12
6,DEL-PNQ,Delhi,DEL,Pune,PNQ,2864459,238704.9,0.035236,3.52,12
7,AMD-DEL,Ahmedabad,AMD,Delhi,DEL,2373313,197776.1,0.029194,2.92,12
8,MAA-BOM,Chennai,MAA,Mumbai,BOM,2219067,184922.2,0.027297,2.73,12
9,CCU-BOM,Kolkata,CCU,Mumbai,BOM,2215829,184652.4,0.027257,2.73,12
10,HYD-BOM,Hyderabad,HYD,Mumbai,BOM,2192139,182678.2,0.026966,2.7,12
11,MAA-DEL,Chennai,MAA,Delhi,DEL,2184325,182027.1,0.026869,2.69,12
12,BLR-HYD,Bengaluru,BLR,Hyderabad,HYD,2169407,180783.9,0.026686,2.67,12
13,BLR-CCU,Bengaluru,BLR,Kolkata,CCU,2101705,175142.1,0.025853,2.59,12
14,AMD-BOM,Ahmedabad,AMD,Mumbai,BOM,2051728,170977.3,0.025238,2.52,12
15,DEL-SXR,Delhi,DEL,Srinagar,SXR,1872311,156025.9,0.023031,2.3,12
16,BLR-PNQ,Bengaluru,BLR,Pune,PNQ,1807395,150616.2,0.022233,2.22,12
17,DEL-GAU,Delhi,DEL,Guwahati,GAU,1577979,131498.2,0.019411,1.94,12
18,DEL-PAT,Delhi,DEL,Patna,PAT,1525446,127120.5,0.018765,1.88,12
19,BLR-MAA,Bengaluru,BLR,Chennai,MAA,1516377,126364.8,0.018653,1.87,12
20,DEL-LKO,Delhi,DEL,Lucknow,LKO,1384635,115386.2,0.017032,1.7,12
21,MAA-HYD,Chennai,MAA,Hyderabad,HYD,1376775,114731.2,0.016936,1.69,12
22,BLR-COK,Bengaluru,BLR,Kochi,COK,1363167,113597.2,0.016768,1.68,12
23,COK-BOM,Kochi,COK,Mumbai,BOM,1313024,109418.7,0.016152,1.62,12
24,IXB-DEL,Bagdogra,IXB,Delhi,DEL,1260830,105069.2,0.01551,1.55,12
25,BBI-DEL,Bhubaneswar,BBI,Delhi,DEL,1201331,100110.9,0.014778,1.48,12
26,AMD-BLR,Ahmedabad,AMD,Bengaluru,BLR,1160344,96695.3,0.014273,1.43,12
27,JAI-BOM,Jaipur,JAI,Mumbai,BOM,1156436,96369.7,0.014225,1.42,12
28,MAA-CCU,Chennai,MAA,Kolkata,CCU,1141602,95133.5,0.014043,1.4,12
29,DEL-IDR,Delhi,DEL,Indore,IDR,1125785,93815.4,0.013848,1.38,12
30,ATQ-DEL,Amritsar,ATQ,Delhi,DEL,1080890,90074.2,0.013296,1.33,12
31,HYD-CCU,Hyderabad,HYD,Kolkata,CCU,988302,82358.5,0.012157,1.22,12
32,DEL-VNS,Delhi,DEL,Varanasi,VNS,986296,82191.3,0.012132,1.21,12
33,GAU-CCU,Guwahati,GAU,Kolkata,CCU,983341,81945.1,0.012096,1.21,12
34,LKO-BOM,Lucknow,LKO,Mumbai,BOM,978307,81525.6,0.012034,1.2,12
35,DEL-COK,Delhi,DEL,Kochi,COK,955132,79594.3,0.011749,1.17,12
36,BOM-VNS,Mumbai,BOM,Varanasi,VNS,911684,75973.7,0.011215,1.12,12
37,DEL-IXR,Delhi,DEL,Ranchi,IXR,895733,74644.4,0.011018,1.1,12
38,IXC-DEL,Chandigarh,IXC,Delhi,DEL,866357,72196.4,0.010657,1.07,12
39,MAA-CJB,Chennai,MAA,Coimbatore,CJB,843300,70275.0,0.010373,1.04,12
40,DEL-RPR,Delhi,DEL,Raipur,RPR,837128,69760.7,0.010298,1.03,12
41,IXA-CCU,Agartala,IXA,Kolkata,CCU,834406,69533.8,0.010264,1.03,12
42,DEL-IXL,Delhi,DEL,Leh,IXL,829715,69142.9,0.010206,1.02,12
43,BLR-BBI,Bengaluru,BLR,Bhubaneswar,BBI,827734,68977.8,0.010182,1.02,12
44,BLR-VNS,Bengaluru,BLR,Varanasi,VNS,825577,68798.1,0.010155,1.02,12
45,BLR-LKO,Bengaluru,BLR,Lucknow,LKO,823200,68600.0,0.010126,1.01,12
46,MAA-PNQ,Chennai,MAA,Pune,PNQ,805417,67118.1,0.009907,0.99,12
47,BOM-NAG,Mumbai,BOM,Nagpur,NAG,782868,65239.0,0.00963,0.96,12
48,IDR-BOM,Indore,IDR,Mumbai,BOM,760660,63388.3,0.009357,0.94,12
49,DEL-NAG,Delhi,DEL,Nagpur,NAG,760429,63369.1,0.009354,0.94,12
50,BLR-GAU,Bengaluru,BLR,Guwahati,GAU,759197,63266.4,0.009339,0.93,12
